color,part,quantity,part_id
Black,Brick 1 x 2,2,3004
Black,Brick 1 x 4,4,3010
Black,Plate 4 x 4,4,3031
Brown,Bracket 2 x 2 - 2 x 2,4,3956
Brown,Plate 2 x 3,5,3021
Brown,Plate 2 x 4,2,3020
Brown,Plate 3 x 3 Cut Corner,2,2450
Brown,Technic Brick 1 x 2 [1 Hole],1,3700
Brown,Tile 1 x 4,2,2431
Brown,Wedge 2 x 16 Triple,4,30382
Brown,Wedge Plate 3 x 4 without Stud Notches,1,4859
Dark Gray,Brick 2 x 2,1,3003
Dark Gray,Brick Special 1 x 1 with Headlight,2,4070
Dark Gray,Hinge Brick 1 x 2 Locking with 1 Finger Vertical End,2,30364
Dark Gray,Plate 2 x 6,1,3795
Dark Gray,Slope Inverted 45º 2 x 2,3,3660
Dark Gray,Tile  1 x  4 with Black and Copper Circuits Print,4,2431ps1
Dark Gray,Tile 2 x 2 with Groove,2,3068b
Dark Gray,Wedge  4 x  4 Triple with Droid Fighter Print,1,6069ps3
Light Gray,Brick 2 x 3,1,3002
Light Gray,Hinge Brick 1 x 2 Locking with 2 Fingers Vertical End,2,30365
Light Gray,Plate 2 x 2,1,3022
Light Gray,Tile 1 x 2 with Stylised Computer Console Print,1,3069bpr0086
Tan,Brick 1 x 2 x 1 1/3 with Curved Top,2,6091
Tan,Brick Special 2 x 2 with Pin and Axle Hole,1,6232
Tan,Plate 2 x 3,3,3021
Tan,"Plate, Round Corner 3 x 3",2,30357
Trans-Red,Plate 1 x 1,2,3024
