color,part,quantity,part_id
Black,Minifig Axe,1,3835
Black,Minifig Fire Helmet,1,3834
Black,Minifig Helmet Breathing Apparatus,1,6158
Black,Minifig Mallet / Large Hammer,1,4522
Black,Plate 2 x 12,1,2445
Black,Plate Round 1 x 1 Straight Side,2,4073
Black,String Reel 2 x 2 Drum,1,2585
Black,Tyre Offset Tread Small Wide,4,6015
Blue,Plate 1 x 4,2,3710
Blue,Plate 4 x 4,1,3031
Light Gray,Brick 1 x 2,1,3004
Light Gray,Brick 1 x 3,2,3622
Light Gray,Brick 2 x 2,1,3003
Light Gray,Brick 2 x 3,1,3002
Light Gray,Door 1 x 4 x 4 Lift,2,6155
Light Gray,Hinge Brick 1 x 2 Base,1,3937
Light Gray,Hinge Brick 1 x 2 Top Plate Thin,1,3938
Light Gray,Hips and Legs [Complete Assembly],1,970c00
Light Gray,Minifig Simple Hose Nozzle with 35L Black String,1,16542
Light Gray,Plate 1 x 1,2,3024
Light Gray,Plate Special 1 x 1 with Clip Vertical [Thick U Clip],3,4085c
Light Gray,Plate Special 1 x 2 with 1 Stud [aka Jumper],2,3794
Light Gray,Plate Special 2 x 2 with Wheel Holders,2,4600
Light Gray,Slope Inverted 45º 2 x 2,1,3660
Light Gray,Tile Special 1 x 2 with Handle,1,2432
Light Gray,Torso Fire Air Gauge and Pocket Print / Light Gray Arms / Black Hands,1,973p29c01
Red,Bracket 2 x 2 - 2 x 2,1,3956
Red,Brick Round 1 x 1 Open Stud,2,3062b
Red,Plate 1 x 2,4,3023
Red,Plate 2 x 2 Corner,4,2420
Red,Plate 2 x 6,1,3795
Red,Plate 4 x 4,1,3031
Red,String Reel 2 x 2 Holder,1,2584
Red,Tap 1 x 1,2,4599
Red,Tile 1 x 2 Grill with Bottom Groove,2,2412b
Red,"Vehicle, Steering Column 1 x 2 with Black Steering Wheel",1,3829c01
Trans-Dark Blue,Tile 1 x 1 with Groove,4,3070b
Trans-Light Blue,Minifig Visor For Standard Helmet,1,2447
Trans-Light Blue,Windscreen 2 x 4 x 2,1,3823
Trans-Red,Plate 1 x 1,4,3024
Trans-Red,Tile 1 x 1 with Groove,4,3070b
Trans-Yellow,Tile 1 x 1 with Groove,2,3070b
White,Bracket 1 x 2 - 1 x 4 [Square Corners],1,2436a
White,Brick Special 1 x 1 with Headlight,4,4070
White,Door Frame 1 x 4 x 4 (Lift),2,6154
White,Hinge Vehicle Roof 4 x 4,1,4213
White,Hinge Vehicle Roof Holder 1 x 4,1,4315
White,Panel 1 x 1 x 1 Corner,2,6231
White,Panel 1 x 2 x 1 [Square Corners],2,4865a
White,Plate 1 x 1,4,3024
White,Plate 1 x 1 - Horizontal Clip,1,6019
White,Plate 1 x 3,2,3623
White,Plate 1 x 4,5,3710
White,Plate 2 x 2,1,3022
White,Plate 2 x 4,3,3020
White,Plate 2 x 6,2,3795
White,Slope 75º 2 x 1 x 3 [Undetermined Type],2,4460
White,Slope Inverted 45º 2 x 1,4,3665
White,Tile 1 x 2 with Groove,1,3069b
White,"Turntable 2 x 2 Plate, Complete Assembly with Light Gray Top",1,3680c01
White,"Wheel 11.5mm D. x 12mm, hole round for wheel holder pin",4,6014a
Yellow,Brick Round 1 x 1 Open Stud,2,3062b
Yellow,Cone 1 x 1 [No Top Groove],1,4589
Yellow,Minifig Airtanks,1,3838
Yellow,Minifig Head Moustache Pointed with Standard Grin Print,1,3626bp03
