color,part,quantity,part_id
Black,Hinge Cylinder 1 x 3 Locking with 1 Finger and Technic Friction Pin,1,41532
Black,Hose Drum (with holes to tie off string),1,4208
Black,Minifig Axe,1,3835
Black,Minifig Hips and Legs (Complete),1,3815c01
Black,Plate Special 2 x 2 with Wheel Holder,6,4488
Black,Slope 30º 1 x 1 x 2/3 [aka Cheese Slope],2,50746
Black,Technic Axle 4,2,3705
Black,Technic Pin with Friction and Slots,3,2780
Black,Torso Plain / White Arms / Yellow Hands,1,973c01
Black,"Turntable 2 x 2 Plate, Complete Assembly with Light Gray Top",1,3680c01
Black,Tyre Offset Tread Small Wide,6,6015
Dark Bluish Gray,Brick 1 x 2 x 1 1/3 with Curved Top,2,6091
Dark Bluish Gray,Brick Special 2 x 2 with Pins and Axle Hole,2,30000
Dark Bluish Gray,Hinge Cylinder 1 x 2 Locking with 2 Click Fingers and Axle Hole,2,30553
Dark Bluish Gray,Mudguard 4 x 2 1/2 x 2 with Arch Round,6,50745
Dark Bluish Gray,Plate 2 x 10,1,3832
Dark Bluish Gray,Plate 2 x 4,3,3020
Dark Bluish Gray,Plate 4 x 4,2,3031
Dark Bluish Gray,Technic Axle 3 with Stud,1,6587
Dark Bluish Gray,Technic Axle 8 with Stop,2,55013
Dark Bluish Gray,Technic Pin 3/4,2,32002
Dark Bluish Gray,Tile 1 x 4,2,2431
Dark Bluish Gray,Vehicle Base 6 x 16 x 2/3 with 4 x 4 Recessed Center,1,52037
Dark Gray,Hinge Brick 1 x 2 Locking with 1 Finger Vertical End,2,30364
Light Bluish Gray,Brick 2 x 4,1,3001
Light Bluish Gray,Brick Round 2 x 2,1,3941
Light Bluish Gray,Hinge Cylinder 1 x 2 Locking with 2 Click Fingers and Axle Hole,2,30553
Light Bluish Gray,Hinge Plate 1 x 2 Locking with 1 Finger On Top,2,30383
Light Bluish Gray,Plate 1 x 2,5,3023
Light Bluish Gray,Plate 2 x 3,2,3021
Light Bluish Gray,Plate Special 1 x 2 with Ladder,2,4175
Light Bluish Gray,Technic Axle 3,3,4519
Light Bluish Gray,Technic Pin Connector Perpendicular 2 x 2 Bent,1,44809
Light Bluish Gray,Tile 1 x 4,2,2431
Light Bluish Gray,Tile 1 x 8,2,4162
Light Bluish Gray,Tile 2 x 2 with Groove,6,3068b
Light Bluish Gray,Tile Special 4 x 4 with Studs on Edge,2,6179
Light Bluish Gray,Tile Special 4 x 6 with Studs on Edges,1,6180
Pearl Light Gray,Technic Axle and Pin Connector Perpendicular with Extension,2,53586
Red,Bracket 1 x 2 - 2 x 2,2,44728
Red,Brick 1 x 2 x 2 with Post train,3,3245a
Red,Brick 1 x 4,2,3010
Red,Brick 2 x 3,2,3002
Red,Brick Special 1 x 2 with Vertical Clip,2,30237
Red,Container - Cupboard 2 x 3 x 2 [Hollow Studs],1,92410
Red,"Crane Arm Outside, New Wide with Pin Hole at Mid-Point",2,57779
Red,Panel 1 x 2 x 1 [Square Corners],2,4865a
Red,Plate 1 x 6,1,3666
Red,Plate 2 x 2,1,3022
Red,Plate 2 x 6,1,3795
Red,Plate 2 x 8 [7 Holes],1,3738
Red,Slope 30º 1 x 1 x 2/3 [aka Cheese Slope],8,50746
Red,Slope Inverted 45º 2 x 1,4,3665
Red,Slope Inverted 45º 2 x 2,3,3660
Red,Slope Inverted 45Â° 6 x 1 Double with 1 x 4 Cutout,1,52501
Red,String Reel 2 x 4 x 2 Holder,1,4209
Red,Technic Beam 1 x 3 Thin,2,6632
Red,Technic Beam 1 x 9 Bent (7 - 3) Thick,2,32271
Red,Technic Beam 2 x 4 L-Shape Thick,1,32140
Red,Tile 1 x 4,1,2431
Red,Wedge 4 x 6 x 2/3 Triple Curved,1,52031
Tan,Technic Axle Pin without Friction Ridges Lengthwise,1,3749
Trans-Clear,Slope 30º 1 x 1 x 2/3 [aka Cheese Slope],2,50746
Trans-Dark Blue,Plate 1 x 1,2,3024
Trans-Dark Blue,Slope 30º 1 x 1 x 2/3 [aka Cheese Slope],4,50746
Trans-Dark Blue,Tile 1 x 2 with Groove,2,3069b
Trans-Red,Slope 30º 1 x 1 x 2/3 [aka Cheese Slope],2,50746
White,Bar 4L Lightsaber Blade,1,30374
White,Brick 2 x 2,2,3003
White,Brick Special 1 x 1 Studs on 4 Sides,2,4733
White,"Container, Cupboard 2 x 3 x 2 Door",1,4533
White,Crane Basket 2 x 3 x 2 with Locking Hinge Fingers,1,51858
White,Minifig Fire Helmet,1,3834
White,Plate 1 x 4,6,3710
White,Plate 1 x 6,3,3666
White,Plate 2 x 2,1,3022
White,Plate Special 1 x 2 with Door Rail,5,32028
White,Technic Axle and Pin Connector Perpendicular,2,6536
White,Technic Beam 1 x 15 Thick,2,32278
White,Tile 1 x 2 Grill with Bottom Groove,7,2412b
White,Tile Special 1 x 2 with Handle,1,2432
White,Wheel 11.5mm D. x 12mm [Hole Notched for Wheel Snap Pin],6,6014b
White,Windscreen 2 x 6 x 2,1,4176
Yellow,Brick Round 1 x 1 Open Stud,1,3062b
Yellow,Lever Small Base with Black Lever,2,298c02
Yellow,Minifig Head [Plain - Hollow Stud],1,3626b
Yellow,Minifig Seat 2 x 2,2,4079
Yellow,Tap 1 x 1,1,4599
Yellow,Technic Bush 1/2 Smooth,4,4265c
Yellow,"Vehicle, Steering Column 1 x 2 with Black Steering Wheel",1,3829c01
