color,part,quantity,part_id
Black,Brick Round Corner 4 x 4 Full Brick,2,2577
Black,Cone 1 x 1 [No Top Groove],2,4589
Black,Door 1 x 4 x 5,2,4131
Black,"Engine - Smooth, Small 1 x 2 Side Plate [With Axle Holders]",2,3475b
Black,Propeller 4 Blade 5 Diameter with Rounded Ends,1,2479
Black,Tyre 30.4 x 14 Offset Tread,4,30391
Blue,Brick 1 x 2,6,3004
Blue,Brick 1 x 4,2,3010
Blue,Brick 1 x 6,2,3009
Blue,Brick 2 x 2,4,3003
Blue,Brick 2 x 4,2,3001
Blue,Brick Special 1 x 1 with Headlight,2,4070
Blue,Plate 1 x 4,2,3710
Blue,Plate 2 x 2,2,3022
Blue,Plate 2 x 4,2,3020
Dark Bluish Gray,Window 2 x 4 x 3 Pane,8,4133
Light Bluish Gray,Antenna 1 x 4,2,3957
Light Bluish Gray,Brick Special 2 x 4 with Pins,2,6249
Light Bluish Gray,Panel 1 x 2 x 1 [Square Corners],2,4865a
Light Bluish Gray,Tile Special 2 x 2 with Pin,1,2460
Light Bluish Gray,"Turntable 4 x 4 Square Base with Top, Complete Assembly",1,3403c01
Red,Brick 1 x 1,4,3005
Red,Brick 1 x 2,6,3004
Red,Brick 1 x 3,2,3622
Red,Brick 1 x 4,2,3010
Red,Brick 1 x 6,2,3009
Red,Brick 1 x 8,2,3008
Red,Brick 2 x 2,4,3003
Red,Brick 2 x 3,2,3002
Red,Brick 2 x 3 with Curved Top,4,6215
Red,Brick 2 x 4,2,3001
Red,Brick 2 x 8,2,3007
Red,Plate 4 x 8,1,3035
Red,Slope 33º 3 x 2,4,3298
Red,Slope 45° 2 x 2 Double,4,3043
Red,Slope 45° 2 x 4 Double,2,3041
Red,Slope 45º 2 x 1,2,3040b
Red,Slope 45º 2 x 2,8,3039
Red,Slope 45º 2 x 4,4,3037
Red,Slope Inverted 45º 2 x 1,4,3665
Red,Slope Inverted 45º 2 x 2,4,3660
Trans-Clear,Panel 1 x 2 x 1 [Square Corners],2,4865a
Trans-Clear,Slope 45º 2 x 2,2,3039
Trans-Clear,Windscreen 2 x 4 x 2,1,3823
Trans-Clear,Windscreen 4 x 4 x 1,1,6238
White,Brick 1 x 2,6,3004
White,Brick 1 x 4,2,3010
White,Brick 1 x 6,2,3009
White,Brick 2 x 2,4,3003
White,Brick 2 x 3,2,3002
White,Brick Round 1 x 1 Open Stud,4,3062b
White,Cone 2 x 2 x 2 [Open Stud],2,3942c
White,Door Frame 2 x 4 x 5,1,4130
White,Wheel 30.4 x 14 [Tread Small Hub],4,30285
White,Window 2 x 4 x 3 Frame,4,4132
Yellow,Bar 1 x 8 x 2,2,2486
Yellow,Brick 1 x 2,6,3004
Yellow,Brick 1 x 4,2,3010
Yellow,Brick 1 x 6,2,3009
Yellow,Brick 2 x 2,4,3003
Yellow,Brick 2 x 3,2,3002
Yellow,Brick 2 x 4,2,3001
Yellow,Door Frame 2 x 4 x 5,1,4130
Yellow,Panel 1 x 2 x 1 [Square Corners],4,4865a
Yellow,Plate 2 x 2,4,3022
Yellow,Plate 2 x 3,2,3021
Yellow,Plate 2 x 4,2,3020
Yellow,Plate 2 x 6,1,3795
Yellow,Plate Special 1 x 1 Clip Light [Thick Ring],2,4081b
Yellow,Slope Curved 6 x 1,2,42022
Yellow,Slope Curved 6 x 1 Inverted,2,42023
Yellow,"Turntable 2 x 2 Plate, Complete Assembly with Light Bluish Gray Top",1,3680c02
Yellow,Window 2 x 4 x 3 Frame,4,4132
