color,part,quantity,part_id
Black,Lever Small Base with Black Lever,1,298c02
Black,Tyre Offset Tread Small,4,3641
Light Gray,Arm Grab Jaw,4,4221
Light Gray,Arm Grab Jaw Holder,2,4220
Light Gray,Arm Holder Brick 2 x 2 without Hole and 1 Arm,2,792c01
Light Gray,Arm Piece Straight with 2 and 3 Fingers,2,3612
Light Gray,Brick Special 1 x 2 x 2/3 with Studs on Sides,1,4595
Light Gray,Plate 1 x 2,3,3023
Light Gray,Plate 1 x 4,1,3710
Light Gray,Plate 2 x 4,1,3020
Light Gray,Plate Special 1 x 2 with 1 Stud [aka Jumper],2,3794
Light Gray,Plate Special 2 x 2 with Wheel Holders,2,4600
Light Gray,"Slope 45° 2 x 2 with 12 Buttons, 3 Red Lamps, Black Panel Print",1,3039p32
Light Gray,"Turntable 2 x 2 Plate, Complete Assembly with Light Gray Top",1,3680c01
Light Gray,Wheel 8mm D. x 6mm,4,4624
Trans-Red,Plate Round 1 x 1 Straight Side,2,4073
