color,part,quantity,part_id
Black,Plate 1 x 2,2,3023
Black,Plate Special 1 x 1 Clip Light [Thick Ring],4,4081b
Black,Plate Special 1 x 2 with Handles [Flat Ends / Low Attachment],2,3839b
Blue,Flag 4 x 1 Wave,1,4495
Blue,Hips and Legs [Complete Assembly],2,970c00
Brown,Minifig Lance,2,3849
Brown,Minifig Spear,2,4497
Dark Gray,Minifig Helmet Castle with Neck Protector,2,3844
Dark Gray,Minifig Sword [Shortsword],1,3847
Light Gray,"Minifig Shield - Triangular with Lion Standing Yellow, and Blue Background Print",1,3846p4h
Red,Brick 1 x 2,1,3004
Red,Flag 4 x 1 Wave,1,4495
Red,Hinge Vehicle Roof 4 x 4,1,4213
Red,Hinge Vehicle Roof Holder 1 x 4 x 2,1,4214
Red,Hips and Legs [Complete Assembly],1,970c00
Red,Plate Special 1 x 1 with Clip Vertical [Thin U Clip],4,4085b
Red,Slope 45° 2 x 2 Double Convex,2,3045
Red,Slope 45º 2 x 1,2,3040b
Red,Torso Castle Crusaders Crossed Axe Shield Print / Blue Arms / Yellow Hands,2,973p42c01
White,Minifig Hat High Cone Shaped,1,2338
White,Plate Round 2 x 2 with Axle Hole,1,4032
White,Torso Red Necklace and Blue Undershirt Print / White Arms / Yellow Hands,1,973p71c01
Yellow,Brick Special 1 x 1 with Headlight,6,4070
Yellow,Minifig Head Standard Grin Print - Solid Stud,3,3626ap01
Yellow,Plate 1 x 3,2,3623
Yellow,Plate 1 x 4,1,3710
Yellow,Plate 4 x 4,1,3031
Yellow,Slope 45° 2 x 2 Double Convex,2,3045
Yellow,Slope Inverted 45º 2 x 2,1,3660
