color,part,quantity,part_id
Black,Minifig Police Style Cap,1,3624
Black,Plate 4 x 4,1,3031
Black,Torso Plain / Black Arms / Yellow Hands,1,973c18
Black,"Turntable 2 x 2 Plate, Base",1,3680
Black,Tyre Offset Tread Small,2,3641
Blue,Hips and Legs [Complete Assembly],1,970c00
Blue,Plate 2 x 2,1,3022
Light Gray,Bar 1 x 4 x 2 with Studs,1,4083
Light Gray,Brick Round 1 x 1 Open Stud,4,3062b
Light Gray,Plate 1 x 8,1,3460
Light Gray,Plate Special 2 x 2 with Wheel Holders,1,4600
Light Gray,"Turntable 2 x 2 Plate, Top",1,3679
Light Gray,Wheel 8mm D. x 6mm,2,4624
Red,Brick Special 1 x 1 with Headlight,2,4070
Red,Plate 1 x 2,3,3023
Red,Plate 1 x 3,2,3623
Red,Plate 1 x 4,4,3710
Red,Plate 2 x 2,2,3022
Red,Plate 2 x 4,3,3020
Red,Plate 2 x 6,2,3795
Red,Plate 2 x 8,2,3034
Red,Plate 4 x 6,1,3032
Red,Plate 6 x 10,2,3033
Red,Plate Special 1 x 8 with Door Rail,4,4510
Trans-Clear,Windscreen 2 x 4 x 2,1,3823
White,Brick 1 x 1,1,3005
White,Brick 1 x 2,3,3004
White,Brick 1 x 3,2,3622
White,Brick 1 x 4,1,3010
White,Brick 1 x 6,4,3009
White,Brick 2 x 10,1,3006
White,Brick 2 x 4,1,3001
White,Brick Special 1 x 1 with Headlight,2,4070
White,Plate 1 x 2,1,3023
White,Plate 1 x 3,2,3623
White,Plate 1 x 4,4,3710
White,Plate 1 x 6,2,3666
White,Slope 45º 2 x 1,3,3040b
White,Slope Inverted 45º 2 x 1,4,3665
White,Slope Inverted 45º 2 x 2,2,3660
Yellow,Minifig Head Standard Grin Print - Solid Stud,1,3626ap01
