color,part,quantity,part_id
Black,Cone 1 x 1 [No Top Groove],2,4589
Blue,Bracket 3 x 2 - 2 x 2 [aka Space Seat],1,4598
Blue,Cockpit Space Nose with Silver and Black V Print,1,2336p35
Blue,Minifig Control Panel,1,2342
Blue,Plate 1 x 2,3,3023
Light Gray,Brick Special 1 x 2 x 2/3 with Studs on Sides,2,4595
Light Gray,Minifig Control Panel,2,2342
Red,Hips and Legs [Complete Assembly],1,970c00
Red,Minifig Airtanks,1,3838
Red,Minifig Helmet Classic with Thick Chin Guard and Visor Dimples,1,3842b
Red,Torso Space Classic Moon Print / Red Arms / Red Hands,1,973p90c02
Trans-Yellow,Cone 1 x 1 [No Top Groove],2,4589
White,Wedge Plate 4 x 4 Wing Left,1,3936
White,Wedge Plate 4 x 4 Wing Right,1,3935
Yellow,Minifig Head Standard Grin Print - Solid Stud,1,3626ap01
